,企業名,キャッチコピー,ステータス,初年度年収
108,技研サービス株式会社 | 安定性◎大手メーカーと長年取引！愛媛/福岡/広島/石川/大阪募集,【総合職(定期点検・フロン回収)】未経験歓迎！年休121日 正社員,正社員,300万円～400万円
109,株式会社アール・ディベロップメント | 《定着率90%/有休消化率80%》立会物件の成約1件⇒インセン5万円,不動産契約を支える【営業・物件説明・引渡】残業月10h/完休2日 正社員,正社員,300万円～500万円
110,中日本ハイウェイ・エンジニアリング名古屋株式会社 | ＜高速道路を未来につなぐ＞年間休日130日～/資格取得支援制度有,NEXCO中日本グループ【 建築系技術職 】★賞与実績6か月分 正社員,正社員,490万円～600万円
111,日本ジッコウ株式会社 | 完全週休2日／残業少なめ／立ち上げメンバー募集,コンクリート防食メーカーの【施工管理】★未経験者を育成！ 正社員,正社員,300万円～450万円
112,有限会社小山塗装 | 《 施工実界トップクラス！建物の価値・景観デザインにも貢献 》,未経験歓迎！【塗装施工の工程管理】★残業少／完全週休2日制 正社員,正社員,
113,株式会社筑豊製作所 | 福岡の隠れた優良企業｜地域未来牽引企業に認定｜土日の週休2日,【営業職】※賞与実績6.02カ月分！2021年度は決算賞与も支給！ 正社員,正社員,350万円～550万円
114,株式会社大門 | 【面接1回！条件を満たす方は面接保証】◆U/Iターン歓迎！社宅有,＼未経験歓迎！月給26万円～／【現場管理スタッフ】◆年休128日 正社員,正社員,350万円～600万円
115,有限会社竹内工業 | ★選べる働き方「週休2日制」or「完全週休2日制」を選択OK,【 総合職(測量補助/管理スタッフ/メンテナンス) 】★未経験OK！ 正社員,正社員,300万円～650万円
116,エクシオインフラ株式会社 | 土日祝休み／東証プライム上場のグループ会社,【土木施工管理】厚生労働省もびっくり！安心できる会社 正社員,正社員,500万円～700万円
117,"株式会社リノステージ | グループ販売実績6,000戸業界トップクラス＊土日休＊長期休暇OK",分業体制で効率よく働き収入UP！自社ブランドの【施工管理】 正社員,正社員,350万円～550万円
118,中日本ハイウェイ・エンジニアリング名古屋株式会社 | 【NEXCO中日本グループ】★UIターン歓迎(社宅有)★土日祝休み,【土木技術職】★年間休日130日以上/賞与実績6ヶ月分/年齢不問 正社員,正社員,490万円～600万円
119,住友不動産株式会社 | 東証プライム上場◆平均残業時間18時間◆転勤なし◆完全週休二日,第二新卒歓迎◆最高年収実績1100万円【新築分譲マンション営業】 正社員,正社員,400万円～500万円
120,丸福建材工業株式会社 | 【創業74年！建築材料販売の老舗企業】◆転勤なし◆残業20h以内,社員が主役！個々の得意を伸ばす【提案営業】休日＆有給取得柔軟 正社員,正社員,
121,タクミ建設株式会社 | 住宅手当・引越手当など手当充実！前給考慮で安心して働けます！,【施工管理スタッフ】◎年間休日123日◎完全週休2日(土日)定着◎ 正社員,正社員,350万円～600万円
122,光電気工事株式会社 | ◆2019年新社屋完成　◆年収700万も目指せる　◆20～50代活躍中,転職者が多く活躍中！【総合職(施工管理・電気工事)】 正社員,正社員,300万円～650万円
123,千葉産業株式会社 | iPadやアプリ導入で成長・営業しやすい環境！ストレスなく働ける,《月給30万円以上》【ルート営業】充実の教育があるから未経験OK 正社員,正社員,360万円～430万円
124,有限会社 柿崎塗装 | 【1978年創業】☆2022年11月に新社屋竣工！☆不況に強い事業です,スキルを身につけレベルUP！橋専門の【施工管理】☆未経験者歓迎 正社員,正社員,250万円～450万円
125,大興機工株式会社 | <マイナビ転職で20代が入社>社会インフラを守る仕事⇒ニーズ安定,【メンテナンス・アシスタント】残業少/完全土日祝休/年休120日 正社員,正社員,330万円～500万円
126,北都建設工業株式会社 | 2022年10月本社移転予定！賞与平均5.9ヶ月分◆年間休日129日,平均年収700万円【土木施工管理】※有資格者・未経験者歓迎 正社員,正社員,450万円～650万円
127,株式会社よかタウン | #東証プライムグループ #賞与年2回＋決算賞与 #年間休日115日,【 総合職（設計・施工管理）】★無資格・未経験OK ★女性活躍中 正社員,正社員,
128,株式会社東急コミュニティー | 東急不動産HDグループ◆健康経営優良法人＆くるみんマーク取得,オフィス/商業ビル/マンションの【設備保守管理（常駐・巡回）】 正社員,正社員,300万円～700万円
129,平岩建設株式会社 | ★年間休日が105日→123日へ！ ★前年度賞与支給実績6ヶ月分,近い将来に所長へ！【建築施工管理】★中途社員へのサポート充実 正社員,正社員,550万円～1051万円
130,株式会社井中組 | IUターン歓迎/社宅制度あり/引越し手当最大10万円支給,【総合職（施工管理・アシスタント)】年休111日OK／残業少なめ 正社員,正社員,300万円～700万円
131,株式会社ステップ | 【創業約100年！田中ホールディングスグループ】U・Iターン歓迎,橋を守り、道を作る！【土木施工管理アシスタント】※未経験歓迎 正社員,正社員,300万円～750万円
132,株式会社メガテックジャパン | 残業少なめ／原則土日祝休み／年収500万円超えも可能,胸を張れる仕事を始めませんか―。【 メンテナンススタッフ 】 正社員,正社員,300万円～500万円
133,ジャパンマテリアル株式会社 | ★《名古屋・神戸・福岡》拠点積極採用★地域密着で転勤はなし！,＼若手活躍中！／ 専門商社の【営業】※賞与年3回 ※土日祝休み 正社員,正社員,300万円～500万円
134,株式会社近代設計 | 東証一部上場 E・Jホールディングス のグループ企業◆定着率抜群,【建設コンサルタント】残業月20h程度★賞与6ヶ月★完全週休2日 正社員,正社員,400万円～700万円
135,株式会社コサカ | 【10年間連続で増収増益！】■グループ全体で強固な基盤を形成,快適空間をつくる【総合職(営業/技術)】賞与計100万円支給(実績) 正社員,正社員,300万円～500万円
136,環境技建株式会社 | 《日本の水環境を支える企業》コロナの影響なし・安定感バツグン,1年目で年収400万円可【機械オペレーター】★力仕事なし★残業少 正社員,正社員,400万円～450万円
137,本間電機工業株式会社 | 空調工事など新分野にも挑戦中！立上げメンバーとして活躍できる,【技術総合職（電気・空調工事）】★賞与の実績は5ヶ月分以上！ 正社員,正社員,316万円～500万円
138,メイジングループ合同募集 | お住まいの地域外を希望する方は家具家電付き社員寮＋帰省補助有,＼面接保証／【施工管理】★年休120日以上・賞与3回・残業少なめ 正社員,正社員,350万円～850万円
139,横浜エンジニアリング株式会社 | 【大手との直接取引で安定経営】未経験からグローバルに活躍可能,【プラント設計(土木建築)】技術を磨けば磨くほど面白くなる仕事 正社員,正社員,325万円～520万円
140,株式会社ニシ | 《昨年マイナビ転職を見て入社した先輩も活躍中》★未経験OK,”チームニシ”で、あなたの成長をサポート【現場管理スタッフ】 正社員,正社員,
141,株式会社京王設備サービス | 【京王電鉄100%出資会社】◆未経験からプロへ◆豊富な資格手当,【設備管理】正社員採用★賞与4.7ヶ月支給実績あり★未経験歓迎 正社員,正社員,300万円～450万円
142,株式会社アコースティックエンジニアリング | 有名・人気アーティスト等から直接指名を受ける一級建築士事務所,《前職給与保証》音楽スタジオ等の【設計・施工管理】土日祝休み 正社員,正社員,400万円～900万円
143,株式会社ヤマダホームズ | 『ヤマダホールディングス』グループ,《未経験OK/若手募集》注文住宅の営業【セールスアシスタント】 正社員,正社員,400万円～800万円
144,洋光建設株式会社 | 働き方改革に取り組んで約20年★業績好調で賞与も5か月分,経験者を好待遇でお迎え★年休+有給で140日休可【土木施工管理】 正社員,正社員,600万円～850万円
145,株式会社野田清商店 | 【創業72年 老舗企業】賞与4.2ヶ月分/転勤なし/福利厚生が充実,焦らずじっくり成長できる！既存顧客が対象の 【ルート営業】 正社員,正社員,260万円～370万円
